date,Discharge
1/1/1980,85
1/2/1980,91.592439
1/3/1980,57.943106
1/4/1980,47.384338
1/5/1980,38.917514
1/6/1980,27.537884
1/7/1980,27.235389
1/8/1980,7.9920659
1/9/1980,12.782357
1/10/1980,3.5906612
1/11/1980,308.2205
1/12/1980,607.18895
1/13/1980,275.73688
1/14/1980,178.41194
1/15/1980,135.23899
1/16/1980,122.22945
1/17/1980,188.39129
1/18/1980,170.73413
1/19/1980,113.26883
1/20/1980,85.003109
1/21/1980,70.499193
1/22/1980,69.078098
1/23/1980,58.345366
1/24/1980,38.837228
1/25/1980,61.895108
1/26/1980,54.095476
1/27/1980,42.318889
1/28/1980,20.940936
1/29/1980,13.832564
1/30/1980,10.45533
1/31/1980,6.9003477
2/1/1980,5.2108923
2/2/1980,4.458834
2/3/1980,4.6935095
2/4/1980,3.9142205
2/5/1980,4.1202321
2/6/1980,3.3107706
2/7/1980,3.4850217
2/8/1980,2.6421281
2/9/1980,2.7811875
2/10/1980,1.90125
2/11/1980,0.975
2/12/1980,0
2/13/1980,0
2/14/1980,2.998125
2/15/1980,24.977063
2/16/1980,112.85436
2/17/1980,134.50274
2/18/1980,106.87976
2/19/1980,82.048457
2/20/1980,163.02683
2/21/1980,778.36287
2/22/1980,1197.0371
2/23/1980,1012.57
2/24/1980,568.2841
2/25/1980,352.41285
2/26/1980,227.99143
2/27/1980,198.02981
2/28/1980,135.50252
2/29/1980,122.3487
3/1/1980,38.47014
3/2/1980,32.744133
3/3/1980,33.105676
3/4/1980,47.535455
3/5/1980,350.81887
3/6/1980,640.40072
3/7/1980,416.93735
3/8/1980,1004.2618
3/9/1980,1037.8765
3/10/1980,626.7959
3/11/1980,354.84869
3/12/1980,219.80109
3/13/1980,175.02987
3/14/1980,201.6319
3/15/1980,332.48365
3/16/1980,208.45802
3/17/1980,940.15875
3/18/1980,1201.095
3/19/1980,1161.8915
3/20/1980,727.3221
3/21/1980,925.46126
3/22/1980,818.3675
3/23/1980,380.08848
3/24/1980,578.65121
3/25/1980,652.07111
3/26/1980,269.32054
3/27/1980,111.21692
3/28/1980,51.470445
3/29/1980,220.78942
3/30/1980,787.09476
3/31/1980,1634.5597
4/1/1980,1542.3707
4/2/1980,1400.6974
4/3/1980,949.69746
4/4/1980,703.54798
4/5/1980,378.43704
4/6/1980,200.88824
4/7/1980,123.19814
4/8/1980,135.6862
4/9/1980,430.71686
4/10/1980,409.67243
4/11/1980,246.612
4/12/1980,184.01589
4/13/1980,120.83251
4/14/1980,802.6362
4/15/1980,1097.2962
4/16/1980,898.51743
4/17/1980,447.93611
4/18/1980,267.95882
4/19/1980,191.74612
4/20/1980,150.52223
4/21/1980,125.60235
4/22/1980,99.370897
4/23/1980,83.048313
4/24/1980,66.892961
4/25/1980,51.939959
4/26/1980,44.410483
4/27/1980,37.511035
4/28/1980,37.432668
4/29/1980,58.415309
4/30/1980,58.537858
5/1/1980,48.807875
5/2/1980,38.977597
5/3/1980,31.792207
5/4/1980,26.281271
5/5/1980,21.506601
5/6/1980,16.480633
5/7/1980,13.242771
5/8/1980,9.8344959
5/9/1980,6.2468378
5/10/1980,2.4703556
5/11/1980,15.608927
5/12/1980,26.787259
5/13/1980,56.047925
5/14/1980,34.422534
5/15/1980,17.891017
5/16/1980,12.413819
5/17/1980,25.981789
5/18/1980,45.62208
5/19/1980,53.374534
5/20/1980,36.250999
5/21/1980,25.22681
5/22/1980,17.175318
5/23/1980,15.000334
5/24/1980,18.791799
5/25/1980,15.598604
5/26/1980,9.2353731
5/27/1980,3.5635507
5/28/1980,1.6984744
5/29/1980,13.795762
5/30/1980,18.92475
5/31/1980,0
6/1/1980,103.935
6/2/1980,568.63878
6/3/1980,323.21502
6/4/1980,192.8893
6/5/1980,122.69272
6/6/1980,83.079799
6/7/1980,62.16896
6/8/1980,46.965533
6/9/1980,35.068982
6/10/1980,24.598928
6/11/1980,17.683082
6/12/1980,13.482192
6/13/1980,10.086518
6/14/1980,8.5647553
6/15/1980,7.9892161
6/16/1980,7.3833854
