date,Discharge
1/1/1980,4
1/2/1980,2.141293
1/3/1980,1.031855
1/4/1980,0.624032
1/5/1980,0.1175179
1/6/1980,0.111642
1/7/1980,0.1060599
1/8/1980,1.899632
1/9/1980,1.890207
1/10/1980,0.7776622
1/11/1980,56.34311
1/12/1980,25.29107
1/13/1980,13.24761
1/14/1980,7.215147
1/15/1980,4.194266
1/16/1980,7.184701
1/17/1980,16.33642
1/18/1980,8.598078
1/19/1980,4.55387
1/20/1980,3.356705
1/21/1980,2.507058
1/22/1980,2.228482
1/23/1980,1.62735
1/24/1980,5.015171
1/25/1980,1.499719
1/26/1980,0.8602308
1/27/1980,0.5976114
1/28/1980,0.5264331
1/29/1980,0.4515085
1/30/1980,0.3726405
1/31/1980,0.3922532
2/1/1980,0.3102665
2/2/1980,0.2239647
2/3/1980,0.1331208
2/4/1980,0.1401271
2/5/1980,0.1475022
2/6/1980,0.1552655
2/7/1980,0.1634374
2/8/1980,0.1720394
2/9/1980,0.1810941
2/10/1980,0.08799375
2/11/1980,0.092625
2/12/1980,0.0975
2/13/1980,0
2/14/1980,0.8994375
2/15/1980,6.893494
2/16/1980,19.86652
2/17/1980,9.806886
2/18/1980,7.723549
2/19/1980,7.627778
2/20/1980,25.51103
2/21/1980,68.32625
2/22/1980,72.01306
2/23/1980,54.60281
2/24/1980,41.18583
2/25/1980,31.79859
2/26/1980,23.44352
2/27/1980,15.12174
2/28/1980,12.83339
2/29/1980,8.57558
3/1/1980,8.342784
3/2/1980,6.130627
3/3/1980,4.935262
3/4/1980,3.452686
3/5/1980,71.53736
3/6/1980,55.21688
3/7/1980,45.78523
3/8/1980,91.24682
3/9/1980,55.58342
3/10/1980,42.83136
3/11/1980,30.04555
3/12/1980,20.25937
3/13/1980,17.49482
3/14/1980,24.75483
3/15/1980,28.0276
3/16/1980,16.31057
3/17/1980,122.5577
3/18/1980,56.78418
3/19/1980,42.05874
3/20/1980,31.38454
3/21/1980,68.76296
3/22/1980,35.196
3/23/1980,22.68548
3/24/1980,41.23194
3/25/1980,27.83555
3/26/1980,16.49311
3/27/1980,7.191515
3/28/1980,7.914781
3/29/1980,19.65652
3/30/1980,155.4192
3/31/1980,81.21123
4/1/1980,52.04349
4/2/1980,40.92334
4/3/1980,45.85475
4/4/1980,50.12155
4/5/1980,32.32415
4/6/1980,23.55657
4/7/1980,16.58586
4/8/1980,49.47985
4/9/1980,48.48169
4/10/1980,42.60782
4/11/1980,30.84212
4/12/1980,23.07509
4/13/1980,14.02641
4/14/1980,87.81267
4/15/1980,66.76752
4/16/1980,49.9007
4/17/1980,37.16782
4/18/1980,26.50975
4/19/1980,19.69447
4/20/1980,13.54681
4/21/1980,8.101908
4/22/1980,5.449377
4/23/1980,3.786186
4/24/1980,2.343354
4/25/1980,1.23511
4/26/1980,0.8895891
4/27/1980,0.7311464
4/28/1980,1.770286
4/29/1980,3.014215
4/30/1980,1.964564
5/1/1980,1.520477
5/2/1980,1.280523
5/3/1980,1.038084
5/4/1980,0.7848254
5/5/1980,0.6208688
5/6/1980,0.448283
5/7/1980,0.2666137
5/8/1980,0.1780144
5/9/1980,0.08475199
5/10/1980,0.08921262
5/11/1980,3.996474
5/12/1980,2.910963
5/13/1980,3.234033
5/14/1980,1.364166
5/15/1980,0.9988765
5/16/1980,1.23661
5/17/1980,9.682993
5/18/1980,9.74933
5/19/1980,4.23764
5/20/1980,2.539602
5/21/1980,1.326832
5/22/1980,1.08877
5/23/1980,1.446271
5/24/1980,1.206799
5/25/1980,0.8597879
5/26/1980,0.6997768
5/27/1980,0.4287124
5/28/1980,0.2768025
5/29/1980,0.15795
5/30/1980,0.156
5/31/1980,0
6/1/1980,101.3066
6/2/1980,60.16571
6/3/1980,41.02013
6/4/1980,27.89585
6/5/1980,20.79622
6/6/1980,12.72304
6/7/1980,8.175595
6/8/1980,6.449988
6/9/1980,4.84142
6/10/1980,3.943801
6/11/1980,3.022422
6/12/1980,2.463076
6/13/1980,1.874291
6/14/1980,1.357148
6/15/1980,1.120682
6/16/1980,0.7691391
6/17/1980,0.4811991
6/18/1980,0.4038937
6/19/1980,0.404625
6/20/1980,0.0975
6/21/1980,0
6/22/1980,0
6/23/1980,0.4797
6/24/1980,1.457918
6/25/1980,1.653152
6/26/1980,1.245092
6/27/1980,0.9346437
6/28/1980,218.3867
6/29/1980,609.9137
6/30/1980,75.29583
7/1/1980,54.77563
7/2/1980,43.36402
7/3/1980,34.05659
7/4/1980,51.84373
7/5/1980,29.7179
7/6/1980,20.66729
7/7/1980,12.15915
7/8/1980,7.462259
7/9/1980,5.28922
7/10/1980,3.720232
7/11/1980,2.684454
7/12/1980,2.004689
7/13/1980,1.391778
7/14/1980,1.054503
7/15/1980,0.9047397
7/16/1980,0.6444628
7/17/1980,0.4731188
7/18/1980,0.190125
7/19/1980,0.0975
7/20/1980,0
7/21/1980,12.792
7/22/1980,15.76169
7/23/1980,4.918654
