date,Discharge
1/1/1980,0.06
1/2/1980,0.069919
1/3/1980,0.099658
1/4/1980,0.19922
1/5/1980,0.11873
1/6/1980,0.088284
1/7/1980,0.077905
1/8/1980,0.057595
1/9/1980,0.03736
1/10/1980,0.0272
1/11/1980,0.017106
1/12/1980,0.0070571
1/13/1980,0.0070333
1/14/1980,0.0071064
1/15/1980,0.0074804
1/16/1980,0.087927
1/17/1980,0.088552
1/18/1980,0.079403
1/19/1980,0.070464
1/20/1980,0.051703
1/21/1980,0.053092
1/22/1980,0.044613
1/23/1980,0.036253
1/24/1980,0.027812
1/25/1980,0.019013
1/26/1980,0.00975
1/27/1980,0
1/28/1980,0
1/29/1980,0
1/30/1980,0
1/31/1980,0
2/1/1980,0
2/2/1980,0
2/3/1980,0.059962
2/4/1980,0.06981
2/5/1980,0.05951
2/6/1980,0.059085
2/7/1980,0.058553
2/8/1980,0.057927
2/9/1980,0.057217
2/10/1980,0.056433
2/11/1980,0.045616
2/12/1980,0.034822
2/13/1980,0.024074
2/14/1980,0.013368
2/15/1980,0.0127
2/16/1980,0.012065
2/17/1980,0.031449
2/18/1980,0.2108
2/19/1980,0.15013
2/20/1980,0.09952
2/21/1980,0.068987
2/22/1980,0.068536
2/23/1980,0.05817
2/24/1980,0.047891
2/25/1980,0.047703
2/26/1980,0.027602
2/27/1980,0.027812
2/28/1980,0.019013
2/29/1980,0.00975
3/1/1980,0
3/2/1980,0.029981
3/3/1980,0.029941
3/4/1980,0.029901
3/5/1980,0.019871
3/6/1980,0.0098519
3/7/1980,0.0098643
3/8/1980,0
3/9/1980,0
3/10/1980,0
3/11/1980,0
3/12/1980,0
3/13/1980,0
3/14/1980,0
3/15/1980,0
3/16/1980,0
3/17/1980,0
3/18/1980,0
3/19/1980,0.049969
3/20/1980,0.079828
3/21/1980,0.07952
3/22/1980,0.079044
3/23/1980,0.068422
3/24/1980,0.057691
3/25/1980,0.046886
3/26/1980,0.086011
3/27/1980,0.12501
3/28/1980,0.10382
3/29/1980,0.10249
3/30/1980,0.12101
3/31/1980,0.0994
4/1/1980,0.087722
4/2/1980,0.076084
4/3/1980,0.054537
4/4/1980,0.053081
4/5/1980,0.051716
4/6/1980,0.040439
4/7/1980,0.039251
4/8/1980,0.038147
4/9/1980,0.027125
4/10/1980,0.026176
4/11/1980,0.025296
4/12/1980,0.024483
4/13/1980,0.023734
4/14/1980,0.013041
4/15/1980,0.012389
4/16/1980,0.01177
4/17/1980,0.011181
4/18/1980,0.020616
4/19/1980,0.030054
4/20/1980,0.039472
4/21/1980,0.038854
4/22/1980,0.028206
4/23/1980,0.027544
4/24/1980,0.026878
4/25/1980,0.026209
4/26/1980,0.035534
4/27/1980,0.034842
