date,Discharge
8/20/1980,43.127917
8/21/1980,25.026864
8/22/1980,15.980924
8/23/1980,9.2179029
8/24/1980,5.5977925
8/25/1980,3.8397816
8/26/1980,1.9892438
8/27/1980,1.067625
8/28/1980,0.0975
8/29/1980,0
8/30/1980,1.0993125
8/31/1980,0.09725625
9/1/1980,46.065782
9/2/1980,314.81431
9/3/1980,239.39311
9/4/1980,112.02825
9/5/1980,73.739722
9/6/1980,49.536872
9/7/1980,30.420708
9/8/1980,17.37847
9/9/1980,11.913296
9/10/1980,7.4087331
9/11/1980,4.7197191
9/12/1980,2.9154937
9/13/1980,2.042625
9/14/1980,0.0975
9/15/1980,0
9/16/1980,7.0955625
9/17/1980,419.82013
9/18/1980,287.27845
9/19/1980,127.77844
9/20/1980,75.368661
9/21/1980,49.0591
9/22/1980,34.849765
9/23/1980,32.733739
9/24/1980,22.723887
9/25/1980,16.73567
9/26/1980,14.537548
9/27/1980,12.223735
9/28/1980,10.814457
9/29/1980,10.357324
9/30/1980,8.8498144
10/1/1980,6.2366467
10/2/1980,4.5122597
10/3/1980,4.7497471
10/4/1980,2.9471022
10/5/1980,2.7943181
10/6/1980,2.6334927
10/7/1980,2.0536766
10/8/1980,1.4433437
10/9/1980,2.2197697
10/10/1980,1.6002181
10/11/1980,0.76075594
10/12/1980,0.18500625
10/13/1980,0.394875
10/14/1980,0
10/15/1980,0.199875
10/16/1980,0.7990125
10/17/1980,15.687299
10/18/1980,37.633072
10/19/1980,14.518174
10/20/1980,15.363184
10/21/1980,25.179272
10/22/1980,23.957218
10/23/1980,21.697547
10/24/1980,23.410031
10/25/1980,48.120012
10/26/1980,41.849136
10/27/1980,33.601126
10/28/1980,48.379513
10/29/1980,55.188049
10/30/1980,40.031054
10/31/1980,25.912322
11/1/1980,7.8288611
11/2/1980,5.769704
11/3/1980,4.7263882
11/4/1980,3.6955103
11/5/1980,2.6743574
11/6/1980,2.6609002
11/7/1980,3.6544618
11/8/1980,2.7347415
11/9/1980,2.8786753
11/10/1980,2.0038687
11/11/1980,0.775125
11/12/1980,0.0975
11/13/1980,0
11/14/1980,0.39975
11/15/1980,1.0983375
11/16/1980,1.0947544
11/17/1980,2.0881587
11/18/1980,9.0732357
11/19/1980,8.0420847
11/20/1980,4.9951156
11/21/1980,5.9377382
11/22/1980,3.8729858
11/23/1980,3.8036143
11/24/1980,3.7314975
11/25/1980,2.6577083
11/26/1980,1.5844693
11/27/1980,42.48816
11/28/1980,106.28065
11/29/1980,76.885787
11/30/1980,54.357742
12/1/1980,40.813206
12/2/1980,34.303004
12/3/1980,35.829299
12/4/1980,26.393616
12/5/1980,19.996897
12/6/1980,16.639328
12/7/1980,14.320401
12/8/1980,14.039238
12/9/1980,37.795416
12/10/1980,52.590097
12/11/1980,38.426153
12/12/1980,28.306669
12/13/1980,20.233606
12/14/1980,15.20591
12/15/1980,12.807108
12/16/1980,13.481166
12/17/1980,11.111754
12/18/1980,9.6439514
12/19/1980,6.0462646
12/20/1980,2.2592259
12/21/1980,4.3794483
12/22/1980,8.5125114
12/23/1980,9.6660021
12/24/1980,9.8442718
12/25/1980,6.0458159
12/26/1980,5.2652437
12/27/1980,4.4939042
12/28/1980,3.7041097
12/29/1980,3.8990629
12/30/1980,3.0779609
12/31/1980,2.213643
1/1/1981,2.3301506
1/2/1981,1.4264743
1/3/1981,0.4752361
1/4/1981,0.50024852
1/5/1981,0.42394581
